temp,visc,con,time
43.15,1.210600598,10,24
43.65,1.194928678,10,24
44.15,1.179634697,10,24
44.65,1.164705413,10,24
45.15,1.15012819,10,24
45.65,1.135890963,10,24
46.15,1.121982208,10,24
46.65,1.108390908,10,24
47.15,1.095106532,10,24
47.65,1.082119002,10,24
48.15,1.069418673,10,24
48.66,1.056750638,10,24
49.15,1.044843067,10,24
24.22,0.651684,15,1
24.22,0.651684,15,1
24.22,0.651684,15,1
24.24,0.651228,15,1
24.38,0.648036,15,1
24.69,0.640968,15,1
25.11,0.631392,15,1
25.59,0.620448,15,1
26.13,0.608136,15,1
26.68,0.595596,15,1
27.25,0.5826,15,1
27.83,0.569376,15,1
28.41,0.556152,15,1
28.99,0.542928,15,1
29.57,0.529704,15,1
30.14,0.516708,15,1
30.7,0.50394,15,1
31.26,0.491172,15,1
31.81,0.478632,15,1
32.37,0.465864,15,1
32.91,0.453552,15,1
33.45,0.44124,15,1
33.98,0.429156,15,1
34.51,0.417072,15,1
35.03,0.405216,15,1
35.55,0.39336,15,1
36.07,0.381504,15,1
36.59,0.369648,15,1
37.1,0.35802,15,1
37.6,0.34662,15,1
38.12,0.334764,15,1
38.62,0.323364,15,1
39.13,0.311736,15,1
39.63,0.300336,15,1
40.13,0.288936,15,1
40.64,0.277308,15,1
41.14,0.265908,15,1
41.64,0.254508,15,1
42.14,0.243108,15,1
42.64,0.231708,15,1
43.14,0.220308,15,1
43.65,0.20868,15,1
44.15,0.19728,15,1
44.64,0.186108,15,1
45.15,0.17448,15,1
45.65,0.16308,15,1
46.15,0.15168,15,1
46.65,0.14028,15,1
47.15,0.12888,15,1
47.65,0.11748,15,1
48.15,0.10608,15,1
48.65,0.09468,15,1
49.15,0.08328,15,1
25.23,8.318838975,15,24
25.23,8.318838975,15,24
25.23,8.318838975,15,24
25.23,8.318838975,15,24
25.22,8.323694835,15,24
25.24,8.313987872,15,24
25.38,8.246568092,15,24
25.69,8.100506022,15,24
26.1,7.913891356,15,24
26.59,7.7001559,15,24
27.13,7.475613063,15,24
27.68,7.257991118,15,24
28.25,7.043455078,15,24
28.83,6.835866884,15,24
29.41,6.638351348,15,24
29.99,6.450235232,15,24
30.57,6.27090216,15,24
31.14,6.102670465,15,24
31.7,5.944641605,15,24
32.26,5.793366027,15,24
32.81,5.650979601,15,24
33.36,5.51437348,15,24
33.9,5.385561069,15,24
34.44,5.261722798,15,24
34.97,5.144757867,15,24
35.5,5.032094345,15,24
36.02,4.9255255,15,24
36.54,4.822692984,15,24
37.06,4.723415385,15,24
37.57,4.629335662,15,24
38.08,4.538360759,15,24
38.6,4.448651633,15,24
39.11,4.36352276,15,24
39.62,4.281094447,15,24
40.12,4.202789417,15,24
40.63,4.125365081,15,24
41.14,4.050306414,15,24
41.64,3.978919288,15,24
42.14,3.909620116,15,24
42.64,3.842324129,15,24
43.14,3.776950938,15,24
43.64,3.713424262,15,24
44.15,3.650454239,15,24
44.65,3.590440357,15,24
45.15,3.53206507,15,24
45.65,3.475266226,15,24
46.15,3.419984678,15,24
46.65,3.366164106,15,24
47.15,3.313750853,15,24
47.65,3.262693777,15,24
48.15,3.2129441,15,24
48.65,3.164455286,15,24
49.15,3.117182906,15,24
